Time,Subfloor,HotAisle,Ceiling
0,0,0.0189,0.1061
1.329,0,0.0379,0.1591
2.657,0,0.0379,0.3598
3.986,0,0.0455,0.6932
5.314,0,0.0568,0.8258
6.643,0.0076,0.125,1.1742
7.972,0.0076,0.1439,1.2008
9.3,0.0076,0.2803,1.2803
10.629,0.0152,0.3485,1.5455
11.957,0.0227,0.4015,1.9659
13.286,0.0227,0.4053,2.2992
14.615,0.0227,0.3598,2.2917
15.943,0.0227,0.3447,2.1326
17.272,0.0227,0.3106,1.9508
18.601,0.0189,0.197,1.8333
19.929,0.0152,0.1174,1.8182
21.258,0.0114,0.1136,1.7727
22.586,0.0076,0.1136,1.697
23.915,0.0038,0.1591,1.6591
25.244,0,0.2386,1.6667
26.572,0.0265,0.2727,1.5795
27.901,0.0682,0.322,1.5455
29.229,0.1023,0.3788,1.4773
30.558,0.0947,0.4583,1.4735
31.887,0.072,0.4886,1.4773
33.215,0.072,0.5227,1.6098
34.544,0.0682,0.5379,1.7197
35.872,0.0606,0.6667,1.6856
37.201,0.0606,0.6818,1.5606
38.53,0.0758,0.6818,1.322
39.858,0.0682,0.6856,1.2652
41.187,0.0644,0.6061,1.4545
42.516,0.0606,0.5758,1.5871
43.844,0.0833,0.5492,1.5909
45.173,0.0871,0.5303,1.5833
46.501,0.0909,0.4205,1.5265
47.83,0.0871,0.4356,1.6894
49.159,0.1098,0.4545,1.7614
50.487,0.1136,0.5114,2.1742
51.816,0.1136,0.5341,2.0265
53.144,0.1136,0.6212,1.9848
54.473,0.1136,0.6515,1.7235
55.802,0.0909,0.6742,1.9735
57.13,0.0795,0.75,1.9811
58.459,0.0795,0.8106,1.9583
59.787,0.072,0.8106,1.8258
61.116,0.0758,0.8485,1.6818
62.445,0.0795,0.8561,1.9053
63.773,0.0833,0.8598,1.9091
65.102,0.0833,0.9129,1.9091
66.43,0.0909,1.0152,1.7689
67.759,0.1705,1.0606,1.5947
69.088,0.1856,1.0227,1.5114
70.416,0.1894,0.9811,1.3902
71.745,0.1932,0.9318,1.2992
73.074,0.1818,0.928,1.4129
74.402,0.0985,0.8788,1.5303
75.731,0.0947,0.8788,1.7045
77.059,0.0909,0.8864,1.7462
78.388,0.0417,0.8902,1.7386
79.717,0.0455,0.875,1.7879
81.045,0.0568,0.8636,1.9545
82.374,0.0795,0.8409,1.9583
83.702,0.1061,0.8371,1.9242
85.031,0.1098,0.8333,2.1326
86.36,0.1174,0.7955,2.2045
87.688,0.1174,0.7576,2.1515
89.017,0.1136,0.7159,2.0076
90.345,0.1136,0.7121,1.8409
91.674,0.1174,0.7083,1.5417
93.003,0.1288,0.6591,1.5265
94.331,0.1326,0.6742,1.6212
95.66,0.1515,0.697,1.8371
96.988,0.1553,0.7008,2.1098
98.317,0.1515,0.7008,2.3106
99.646,0.1477,0.697,2.2765
100.974,0.0947,0.678,2.197
102.303,0.0947,0.6402,1.7765
103.632,0.1023,0.6326,1.7538
104.96,0.1136,0.6326,1.8523
106.289,0.1288,0.6515,1.8826
