Time,Subfloor,HotAisle,Ceiling
0,0,0.0909,0.0227
1.326,0,0.0909,0.0189
2.653,0,0.0909,0.0189
3.979,0,0.0909,0.0265
5.305,0,0.0871,0.0227
6.631,0,0.0795,0.0189
7.958,0,0.0682,0.0038
9.284,0,0.053,0.0038
10.61,0,0.0515,0.2045
11.936,0,0.05,0.2955
13.263,0,0.0485,0.3068
14.589,0,0.047,1.2235
15.915,0,0.0455,1.8106
17.241,0,0.0568,2.3258
18.568,0,0.072,2.3295
19.894,0,0.0682,2.2083
21.22,0,0.0606,2.6136
22.546,0,0.0492,2.5947
23.873,0,0.0417,2.4659
25.199,0,0.0227,2.2235
26.525,0,0.0189,2.1174
27.851,0,0.0492,1.928
29.178,0,0.053,1.9205
30.504,0,0.0568,1.9886
31.83,0,0.0644,2.1174
33.156,0,0.0795,2.1439
34.483,0,0.1212,2.303
35.809,0.0076,0.1667,2.3447
37.135,0.0189,0.2008,2.3712
38.462,0.0227,0.2159,2.3788
39.788,0.0227,0.2311,2.9129
41.114,0.0227,0.2159,3.2197
42.44,0.0265,0.1742,3.7311
43.767,0.0152,0.1326,3.9811
45.093,0.0133,0.1174,3.7576
46.419,0.0114,0.0833,3.6591
47.745,0.0095,0.0455,3.6212
49.072,0.0076,0.0417,3.6591
50.398,0.0057,0.0492,3.6364
51.724,0.0038,0.053,3.5265
53.05,0.0019,0.0606,3.4508
54.377,0,0.0606,3.4394
55.703,0,0.0606,3.5114
57.029,0,0.0909,3.4432
58.355,0.0038,0.0985,3.3371
59.682,0.0076,0.0871,3.2841
61.008,0.0114,0.0871,3.2765
62.334,0.0152,0.0833,3.5114
63.66,0.0189,0.0795,3.6174
64.987,0.0227,0.0076,3.6818
66.313,0.0265,0.0076,3.5341
67.639,0.0303,0.0076,3.4545
68.966,0.0303,0.0076,3.4583
70.292,0.0303,0.0076,3.4773
71.618,0.0265,0.0076,3.4735
72.944,0.0227,0.0076,3.4735
74.271,0.0265,0.0076,3.6212
75.597,0.0303,0.0076,3.6174
76.923,0.0303,0.0076,3.6288
78.249,0.0265,0.0076,3.7538
79.576,0.0227,0.0076,3.7727
80.902,0.0227,0.0076,3.4697
82.228,0.0227,0.0076,3.4583
83.554,0.0228,0.0076,3.3636
84.881,0.0228,0.0076,3.4432
86.207,0.0229,0.0076,3.5152
87.533,0.023,0.0076,3.6061
88.859,0.023,0.0076,3.4129
90.186,0.0231,0.0076,3.1515
91.512,0.0231,0.0076,3.0985
92.838,0.0232,0.0076,3.1705
94.164,0.0232,0.0076,3.2689
95.491,0.0233,0.0076,3.4621
96.817,0.0234,0.0076,3.5114
98.143,0.0234,0.0076,3.4848
99.469,0.0235,0.0076,3.4924
100.796,0.0235,0.0076,3.4697
102.122,0.0236,0.0076,3.4432
103.448,0.0236,0.0076,3.2879
104.775,0.0237,0.0076,3.2841
106.101,0.0238,0.0076,3.3068
107.427,0.0238,0.0076,3.4697
108.753,0.0239,0.0076,3.5947
110.08,0.0239,0.0076,3.6061
111.406,0.024,0.0076,3.3523
112.732,0.024,0.0076,3.2652
114.058,0.0241,0.0076,3.197
115.385,0.0242,0.0076,3.2879
116.711,0.0242,0.0076,3.2386
118.037,0.0243,0.0076,3.2917
119.363,0.0243,0.0076,3.3409
120.69,0.0244,0.0076,3.4432
122.016,0.0244,0.0076,3.4394
123.342,0.0245,0.0076,3.2348
124.668,0.0246,0.0076,3.2311
125.995,0.0246,0.0076,3.1212
127.321,0.0247,0.0076,3.0985
128.647,0.0247,0.0076,3.0871
129.973,0.0248,0.0076,2.7045
131.3,0.0249,0.0076,2.6629
132.626,0.0249,0.0076,2.7083
133.952,0.025,0.0114,2.7008
135.279,0.025,0.0189,2.6061
136.605,0.0251,0.0227,2.5682
137.931,0.0251,0.0227,2.6894
139.257,0.0252,0.0227,2.8977
140.584,0.0253,0.0076,2.8977
141.91,0.0253,0.0076,2.9242
143.236,0.0254,0.0114,2.9091
144.562,0.0254,0.0303,2.8598
145.889,0.0255,0.0455,2.8523
147.215,0.0255,0.0492,2.7083
148.541,0.0256,0.0492,2.6742
149.867,0.0257,0.0455,2.553
151.194,0.0257,0.0341,2.5795
152.52,0.0258,0.0265,2.8333
153.846,0.0258,0.0152,2.9242
155.172,0.0259,0.0114,3.0758
156.499,0.0259,0.0076,3.0833
157.825,0.026,0.0076,3.0379
159.151,0.0261,0.0076,2.9508
160.477,0.0261,0.0076,2.9508
161.804,0.0262,0.0076,3.0455
163.13,0.0262,0.0076,3.1818
164.456,0.0263,0.0076,3.2311
165.782,0.0263,0.0076,3.3182
167.109,0.0264,0.0076,3.1023
168.435,0.0265,0.0076,3.0909
169.761,0.0265,0.0076,3.1326
171.088,0.0379,0.0076,3.1212
172.414,0.0417,0.0076,3.0833
173.74,0.0492,0.0076,2.8447
175.066,0.0492,0.0152,2.8371
176.393,0.0591,0.0189,2.7348
177.719,0.0689,0.0189,2.7273
