Time,Subfloor,HotAisle,Ceiling
0,0.4324,2.5974,0.1299
1.327,0.4324,2.5541,0.1299
2.655,0.9189,2.4675,0.1299
3.982,1.2973,2.5108,0.303
5.31,1.5676,3.2468,1.039
6.637,1.6757,5.4113,1.4719
7.965,2.8108,6.0173,2.0779
9.292,9.2973,6.0606,2.8139
10.619,10.7568,6.0606,2.684
11.947,13.2432,6.1039,2.2078
13.274,18.8108,5.5411,1.9481
14.602,25.4054,4.6753,1.9048
15.929,29.1892,3.8961,2.1645
17.257,32.4324,3.7229,2.6407
18.584,36.6486,1.645,3.0303
19.912,44.4324,1.6017,3.6364
21.239,47.6216,1.6017,3.6364
22.566,50.0541,1.645,3.6797
23.894,53.5135,2.0346,3.5498
25.221,57.6757,2.381,3.8095
26.549,59.1892,2.5541,4.3723
27.876,60.9189,2.7273,4.8052
29.204,61.6216,3.2468,5.0216
30.531,62.4324,3.4632,5.1515
31.858,63.0811,3.4632,5.2381
33.186,63.4054,3.4199,5.368
34.513,63.5135,3.4632,5.5844
35.841,63.5676,3.5065,6.1905
37.168,63.5676,3.4199,6.7532
38.496,63.7297,3.29,7.0563
39.823,63.7838,3.1602,7.5325
41.15,63.8378,2.9004,7.5325
42.478,63.8378,2.0779,7.619
43.805,63.9459,1.7749,7.013
45.133,64.3784,1.5584,7.013
46.46,64.7568,1.342,6.4502
47.788,65.5135,0.5628,6.5801
49.115,66.1622,0.4762,5.7576
50.442,66.7027,0.4762,5.7143
51.77,66.973,0.303,6.4502
53.097,67.6757,0.1732,6.9264
54.425,67.6757,0.1299,7.3593
55.752,67.1351,0.1299,8.3117
57.08,66.5946,0.1299,7.9221
58.407,66,0.1299,7.4459
59.735,65.9459,0.1299,7.1429
61.062,65.5676,0.1299,7.0563
62.389,65.6757,0.1299,7.013
63.717,66.2703,0.1299,7.7056
65.044,67.027,0.1299,7.7056
66.372,67.5676,0.1299,7.7056
67.699,68.0541,0.1299,7.7489
69.027,68.973,0.1299,7.6623
70.354,69.7838,0.1299,7.4459
71.681,70.2703,0.1299,7.1429
73.009,70.4865,0.1299,7.2294
74.336,70.4324,0.1299,7.0996
75.664,69.9459,0.1299,7.0996
76.991,69.8378,0.1299,7.4892
78.319,69.8378,0.1299,7.7922
79.646,70.1081,0.1299,8.0519
80.973,70.3784,0.1299,7.5325
82.301,70.7027,0.1299,7.4459
83.628,70.8108,0.1299,7.3593
84.956,71.0811,0.1299,6.9697
86.283,70.8649,0.1299,6.4069
87.611,70.2703,0.1299,6.5368
88.938,70,0.4329,6.9264
