Time,Subfloor,HotAisle,Ceiling
0,0.6926,0.4329,0.4762
1.327,0.6926,0.4329,0.4762
2.655,0.6926,0.4329,0.4762
3.982,0.6926,0.4329,0.4762
5.31,0.6926,0.4329,0.4762
6.637,0.6926,0.4329,0.4762
7.965,0.6926,0.4329,0.4762
9.292,0.6926,0.4329,0.4762
10.619,0.6926,0.4329,0.4762
11.947,0.6926,0.4329,0.4762
13.274,0.6926,0.4329,0.4762
14.602,0.6926,0.4329,0.4762
15.929,0.6926,0.4329,0.4762
17.257,0.6926,0.4329,0.4762
18.584,0.6926,0.4329,0.4762
19.912,0.6926,0.4329,0.4762
21.239,0.6926,0.4329,0.4762
22.566,0.6926,0.4329,0.4762
23.894,0.6926,0.4329,0.4762
25.221,0.6926,0.4329,0.4762
26.549,0.6926,0.4329,0.4762
27.876,0.6926,0.4329,0.4762
29.204,0.6926,0.4329,0.4762
30.531,0.6926,0.4329,0.4762
31.858,0.6926,0.4329,0.4762
33.186,0.6926,0.4329,0.4762
34.513,0.6926,0.4329,0.4762
35.841,0.6926,0.4329,0.4762
37.168,0.6926,0.4329,0.4762
38.496,0.6926,0.4329,0.4762
39.823,0.6926,0.4329,0.4762
41.15,0.6926,0.4329,0.4762
42.478,0.6926,0.4329,0.4762
43.805,0.6926,0.4329,0.4762
45.133,0.6926,0.4329,0.4762
46.46,0.6926,0.4329,0.4762
47.788,0.6926,0.4329,0.4762
49.115,0.6926,0.4329,0.5195
50.442,0.6926,0.4329,0.5195
51.77,1.0823,0.4329,0.4762
53.097,1.3853,0.4329,0.5195
54.425,1.6017,0.4329,0.5195
55.752,1.6883,0.4329,0.5628
57.08,2.5974,0.4329,0.5628
58.407,7.7922,0.4329,0.5628
59.735,8.961,0.4329,0.6061
61.062,10.9524,0.4329,0.6926
62.389,15.4113,0.4329,0.9091
63.717,20.6926,0.4762,1.5152
65.044,23.7229,0.4762,1.7749
66.372,26.3203,0.4762,2.4675
67.699,29.697,0.4762,4.4589
69.027,35.9307,0.4762,5.1515
70.354,38.4848,0.4762,6.5368
71.681,40.4329,1.342,8.1385
73.009,43.2035,1.8615,9.0909
74.336,46.5368,1.9048,9.7403
75.664,47.7489,1.9481,9.4372
76.991,49.1342,2.3377,9.0909
78.319,49.697,2.3377,8.7013
79.646,50.3463,1.6017,9.1775
80.973,50.8658,1.6017,10.1732
82.301,51.1255,1.5584,11.9481
83.628,51.2121,1.1255,12.5974
84.956,51.2554,0.4762,13.5498
86.283,51.2554,0.4762,14.632
87.611,51.3853,0.4762,15.9307
88.938,51.4286,0.4762,16.5801
90.265,51.4719,0.4762,17.619
91.593,51.4719,0.4762,18.0087
92.92,51.5584,0.4762,17.5758
94.248,51.9048,0.4762,17.5325
95.575,52.2078,0.4762,18.7879
96.903,52.8139,0.4762,19.2641
98.23,53.3333,0.4762,20.1299
99.558,53.7662,0.4762,22.4242
100.885,53.9827,0.5195,23.1602
102.212,54.5455,0.4762,24.4156
103.54,54.5455,0.4762,25.4113
104.867,54.1126,0.4762,26.3203
106.195,53.6797,0.4762,26.3636
107.522,53.2035,0.4762,26.0606
108.85,53.1602,0.4762,25.974
110.177,52.8571,0.4762,26.1039
111.504,52.9437,0.4762,26.4502
112.832,53.4199,0.6061,26.6667
114.159,54.026,1.039,26.8398
115.487,54.4589,1.039,27.8355
116.814,54.8485,1.039,28.0952
118.142,55.5844,0.9957,28.1385
119.469,56.2338,0.8225,27.8788
120.796,56.6234,0.5195,26.2771
122.124,56.7965,0.5195,25.0216
123.451,56.7532,0.5195,24.5455
124.779,56.3636,0.5195,23.6797
126.106,56.2771,0.4762,23.8961
127.434,56.2771,0.4762,24.2424
128.761,56.4935,0.4762,24.1558
130.088,56.71,0.4762,24.0693
131.416,56.9697,0.4762,23.6797
132.743,57.0563,0.7359,23.5065
134.071,57.2727,2.4242,23.4632
135.398,57.0996,2.4675,23.6364
136.726,56.6234,2.4675,23.7229
138.053,56.4069,2.4675,22.5541
139.381,55.974,2.4242,21.645
140.708,55.5844,2.0346,21.4286
142.035,55.1515,0.9524,20.6494
143.363,55.1082,0.8225,20.6494
144.69,55.3247,0.8225,20.6494
146.018,55.4113,0.6494,21.5152
147.345,55.2814,0.7359,21.9481
148.673,55.1515,1.0823,23.0303
150,54.9351,1.5152,25.4545
151.327,54.1991,1.8615,26.71
152.655,53.8961,2.1212,27.316
153.982,53.6797,1.9913,27.6623
155.31,53.7662,1.9048,27.7922
156.637,53.9827,1.4286,28.7446
157.965,54.0693,1.2554,28.7446
159.292,54.1558,0.6494,28.0952
160.619,54.1558,0.6926,27.7489
161.947,54.1991,0.7792,26.5801
163.274,54.1991,0.8225,26.6667
164.602,54.1991,0.8658,26.3203
165.929,54.5887,1.1688,26.2771
167.257,54.9784,1.2554,26.2771
168.584,55.2381,1.1688,26.4502
169.912,55.8442,1.0823,26.4069
171.239,56.1472,1.039,27.7056
172.566,57.3593,0.8225,27.8788
173.894,57.7489,0.5195,28.3117
175.221,58.1385,0.5195,27.2727
176.549,58.6147,0.4762,26.6234
177.876,58.6147,0.4762,25.0216
179.204,57.8788,0.4762,23.6797
180.531,57.619,0.4762,22.4242
181.858,57.4459,0.4762,21.7749
183.186,56.6667,0.4762,21.6017
184.513,56.5801,0.4762,22.2511
185.841,56.8831,1.2121,22.684
187.168,57.4459,2.8571,23.9827
188.496,58.1818,2.9437,23.7662
189.823,58.9177,3.0303,23.5931
191.15,59.5238,3.3333,24.2424
192.478,60.0866,3.3333,24.5887
193.805,60,3.2468,25.368
195.133,59.9134,1.5584,25.2814
