Time,Subfloor,HotAisle,Ceiling
0,0.5628,0,0.1732
1.329,0.6061,0,0.2597
2.657,0.7792,0,0.2597
3.986,0.7792,0,0.2597
5.314,0.9957,0,0.2597
6.643,1.039,0.5195,0.2597
7.972,1.2121,0.5628,0.2597
9.3,1.5584,0.7359,0.2597
10.629,1.6017,0.8658,0.2597
11.957,1.6017,0.9524,0.303
13.286,1.5584,0.9957,0.3896
14.615,1.4863,0.9957,0.4329
15.943,1.4141,0.9524,0.4329
17.272,1.342,0.8658,0.3896
18.601,1.342,0.7792,0.3463
19.929,1.342,0.7792,0.1732
21.258,1.2987,0.7359,0.1299
22.586,1.2554,0.6926,0.0866
23.915,1.1255,0.6061,0.0433
25.244,1.1688,0.5628,0
26.572,1.1255,0.5195,0.0433
27.901,0.8658,0.3896,0.0866
29.229,0.9091,0.2597,0.1732
30.558,1.039,0.1299,0.2597
31.887,1.0823,0,0.3463
33.215,1.0823,0.0433,0.4329
34.544,1.039,0.0866,0.5195
35.872,0.9524,0.1299,0.5195
37.201,0.9524,0.0866,0.4329
38.53,0.9524,0.0866,0.4329
39.858,0.8658,0.0866,0.3463
41.187,0.9524,0.0866,0.4329
42.516,0.9524,0.0866,0.4762
43.844,1.039,0.0866,0.5195
45.173,1.1255,0.0866,0.6061
46.501,1.4719,0.1299,0.5628
47.83,1.5584,0.0866,0.5195
49.159,1.7316,0.9091,0.3896
50.487,1.7749,0.9091,0.303
51.816,1.7749,0.8658,0.1299
53.144,1.7749,0.9957,0.0866
54.473,1.6883,1.039,0.0866
55.802,1.5584,0.9091,0.0866
57.13,1.6883,0.8225,0.0866
58.459,1.7316,0.8658,0.1732
59.787,1.7316,0.8225,0.1299
61.116,1.645,0.5195,0.0866
62.445,1.4286,0.4329,0.0866
63.773,1.2554,0.4762,0.0866
65.102,1.2987,0.4762,0.1732
66.43,1.2987,0.4762,0.2597
67.759,1.4286,0.4762,0.2597
69.088,1.5152,0.4762,0.2597
70.416,1.6017,0.4762,0.2597
71.745,1.6017,0.2597,0.2597
73.074,1.5584,0,0.2597
74.402,1.6883,0.0433,0.3463
75.731,1.7316,0.0433,0.4329
77.059,1.7749,0.0433,0.5195
78.388,1.8182,0.0433,0.6061
79.717,1.7749,0.0433,0.6926
81.045,1.7749,0.0433,0.6926
82.374,1.8182,0.1299,0.6926
83.702,1.8615,0.1299,0.6494
85.031,1.7749,0.1299,0.6494
86.36,1.6883,0.1299,0.6061
87.688,1.7316,0.1299,0.5628
89.017,1.7749,0.1732,0.6061
90.345,1.9481,0.0866,0.6494
91.674,2.1645,0.0866,0.6494
93.003,2.381,0.0433,0.7792
94.331,2.9437,0.0433,0.7792
95.66,3.0736,0.0433,0.9091
96.988,3.0303,0.0433,0.9957
98.317,3.0303,0.0433,0.9957
99.646,3.0303,0.0433,1.039
100.974,3.0303,0.0433,1.039
102.303,3.4199,0.0433,1.039
103.632,3.7662,0.0866,1.039
