Location,Temperature
L-H1,224.1
L-H2,227.2
M-H1,257
U-H1,258.7
U-H2,251.7
L-C1,19.1
L-C2,19.1
M-C1,20.2
U-C1,20.3
U-C2,20.2
L-F1,117
L-F2,129.6
L-F3,116.9
L-F4,121.9
L-F5,118.8
L-F6,102.7
L-F7,108.5
L-F8,108.1
L-F9,118.4
L-F10,104.4
M-F1,116.6
M-F2,126.6
M-F3,120.5
M-F4,122.6
M-F5,122.8
U-F1,173.8
U-F2,159.6
U-F3,149.1
U-F4,158.6
U-F5,144.6
U-F6,132.3
U-F7,140
U-F8,133.3
U-F9,152.1
U-F10,145.4
L-M1,21.7
L-M2,21.2
L-M3,22.1
L-M4,21.2
L-M5,22
L-M6,21.7
M-M1,20.8
M-M2,21.4
M-M3,21.9
U-M1,29.4
U-M2,22.6
U-M3,21.8
U-M4,22.3
U-M5,22.2
U-M6,22.5
L-R1,19.6
L-R2,19.4
L-R3,19.6
L-R4,19.5
L-R5,19.5
L-R6,19.3
L-R7,19.4
L-R8,19.2
L-R9,19.3
L-R10,19.3
M-R1,20.1
M-R2,20.1
M-R3,20
M-R4,19.9
M-R5,19.9
U-R1,19.5
U-R2,19.1
U-R3,19.2
U-R4,19.8
U-R5,20.1
U-R6,19.9
U-R7,20.4
U-R8,20.2
U-R9,20
U-R10,20.3
