Time (s),S1,S2,S3,S4,S5,S6,S7,S8,S9
0,21.8,21.8,21.7,21.6,21.8,21.9,21.7,21.6,21.8
300,64.4,62.4,61.2,61.6,62.6,63.8,60.4,59.2,61.3
600,194.4,191.4,188.9,185.2,188.3,192,180.1,178.1,183.2
900,322.5,321.4,318.8,307.6,311.9,315.9,300.9,299.5,305.4
1200,402.7,403.5,402.3,392.1,398.1,399.2,391.3,390.2,395.7
1500,425,425.9,426.9,418.1,423.7,423.5,419.5,417.9,422.4
1800,435.4,436.1,437.6,431.4,436.5,436.6,434.3,433.1,436.8
2100,438.5,439.1,440.8,436.4,440.9,441.3,439.9,439.1,442.1
2400,436.4,436.9,438.7,434.9,439.7,440.1,439.3,438.1,441.3
2700,438.5,438.8,440.8,437.9,442.1,442.5,442.1,440.8,444
3000,441.7,441.7,443.7,439,443.5,444,442.5,441.2,444.2
3300,445.5,445.3,447.4,441.9,446.1,446.6,444.5,443.3,446.1
3600,445.7,445.4,447.5,442.7,446.6,447.3,445.1,444,446.8
3900,446.3,446,448,443.5,447.3,448.3,446,444.9,447.7
4200,446.1,445.7,447.8,443.2,446.8,448,445.3,444.2,446.8
4500,447,446.4,448.4,443.8,447.4,448.6,445.8,444.9,447.4
4800,447.2,446.5,448.5,444.1,447.7,448.8,446.1,444.9,447.7
5100,447.5,446.7,448.8,444.6,448.1,449.2,446.5,445.5,448.1
5400,447.3,446.4,448.6,444.6,447.7,449,446.2,445.5,447.8
5700,447.1,446.7,448.7,444,447.7,449,446.1,445.4,448.1
