Time,S1,S2,S3,S4,S5,S6,S7,S8,S9
0,20,19.8,20,19.8,19.8,19.7,19.6,19.4,19.4
300,65.4,64.4,66.5,64.7,65.9,67.3,62.7,61.2,62.6
600,202.1,197.7,201.3,195,197.7,201.4,189.5,187.4,190.6
900,331.8,326.6,330.8,320,323.7,328.5,311.4,311.1,314
1200,411.7,407.5,412.9,401.8,406.5,410.3,393.6,394.1,396.2
1500,447.2,444,450.8,438.9,443.6,446.5,431.8,433.5,434.6
1800,443.5,440.8,448.6,435.3,440.3,441.6,428.6,430.6,431.5
2100,447.3,445.4,452.3,440.8,446.6,448.1,439.6,441,443.3
2400,457,455.3,461.8,452.1,457.3,459.7,452.9,454.2,456.8
2700,460.5,459.2,465.5,455.9,461.2,463.7,457.3,458.4,461.2
3000,460.3,459.4,465.4,455.8,461.3,464,457.7,458.8,461.6
3300,463.2,462.7,468.1,459.1,464.7,467.4,461.2,462.4,465.4
3600,466.7,466,471.4,462.2,467.7,470.9,463.6,464.6,467.9
3900,469.5,468.7,474.1,465.1,470.5,474,465.9,466.6,470.4
4200,469.1,467.8,473.4,465.4,470.4,474.4,467.1,467.7,471.5
4500,469.3,467.8,473.2,466.6,470.8,475.2,469,469.3,472.2
4800,468.6,467,471.6,466,470,473.8,469.2,469.6,472.4
5100,468.5,466.8,470.8,466.1,469.9,473.4,469.7,470,472.8
5400,469.7,468,471.8,467.6,471.2,474.5,471.4,471.6,474.4
5700,470,468.3,472,468.2,471.6,474.6,471.8,471.9,474.7
6000,470.4,468.8,472.2,468.8,472,474.8,472.4,472.4,475
6300,470.1,468.4,471.6,468.7,471.7,474.1,472.2,472.1,474.5
