Time (s),L-H1,L-H2,M-H1,U-H1,U-H2,L-C1,L-C2,M-C1,U-C1,U-C2,L-F1,L-F2,L-F3,L-F4,L-F5,L-F6,L-F7,L-F8,L-F9,L-F10,M-F1,M-F2,M-F3,M-F4,M-F5,U-F1,U-F2,U-F3,U-F4,U-F5,U-F6,U-F7,U-F8,U-F9,U-F10,L-M1,L-M2,L-M3,L-M4,L-M5,L-M6,M-M1,M-M2,M-M3,U-M1,U-M2,U-M3,U-M4,U-M5,U-M6,L-R1,L-R2,L-R3,L-R4,L-R5,L-R6,L-R7,L-R8,L-R9,L-R10,M-R1,M-R2,M-R3,M-R4,M-R5,U-R1,U-R2,U-R3,U-R4,U-R5,U-R6,U-R7,U-R8,U-R9,U-R10
0,19.2,19.3,20.1,20.1,19.9,19.2,19.2,20.0,20.0,19.9,19.6,19.7,19.7,19.7,19.8,19.6,19.6,19.7,19.6,19.5,19.4,19.5,19.7,19.4,20.0,20.1,20.4,21.0,20.2,19.7,19.4,19.9,19.7,19.7,19.8,19.6,19.6,19.7,19.6,19.6,19.5,19.0,19.7,19.9,19.7,20.1,19.8,19.5,19.6,19.3,19.6,19.3,19.6,19.5,19.5,19.3,19.4,19.2,19.3,19.3,20.0,20.0,19.9,19.7,19.9,19.3,19.0,19.0,19.8,19.8,19.9,20.2,20.1,19.8,20.1
300,23.3,24.1,27.3,28.7,24.9,19.2,19.2,20.0,20.0,19.9,20.0,20.2,20.1,20.0,20.1,19.9,19.8,20.0,19.9,19.8,20.0,20.0,20.4,19.9,20.7,22.6,22.0,22.4,21.7,20.9,20.3,20.7,20.4,20.5,20.4,19.6,19.6,19.7,19.6,19.6,19.5,19.0,19.7,19.9,19.7,20.1,19.8,19.5,19.6,19.3,19.6,19.3,19.6,19.5,19.5,19.3,19.4,19.2,19.4,19.3,20.0,20.0,19.9,19.7,19.9,19.3,19.0,19.1,19.8,19.9,19.9,20.2,20.1,19.8,20.2
600,44.5,45.9,52.2,54.6,50.0,19.1,19.2,20.0,20.0,19.9,24.6,25.3,24.8,24.2,24.5,23.3,22.8,23.8,23.7,22.8,24.6,24.9,25.8,24.4,26.1,37.2,32.6,31.2,30.8,28.8,27.5,27.5,26.7,27.9,26.7,19.6,19.6,19.7,19.6,19.6,19.5,18.9,19.7,19.9,19.7,20.1,19.8,19.5,19.6,19.3,19.6,19.3,19.6,19.5,19.5,19.3,19.4,19.2,19.3,19.3,20.0,20.0,19.9,19.7,19.9,19.3,19.0,19.0,19.8,19.9,19.9,20.2,20.1,19.8,20.2
900,88.4,91.6,103.2,104.7,103.3,19.1,19.2,20.0,20.0,20.0,39.0,41.3,39.3,37.9,38.4,33.8,33.3,35.8,36.2,33.1,38.0,39.4,40.5,38.1,41.4,65.4,55.4,52.2,53.0,48.8,45.7,46.2,45.6,50.1,46.9,19.6,19.6,19.7,19.6,19.6,19.5,18.9,19.7,20.0,19.8,20.1,19.7,19.5,19.5,19.3,19.6,19.3,19.6,19.5,19.5,19.3,19.4,19.2,19.3,19.3,20.0,20.0,19.9,19.7,19.9,19.3,19.0,19.1,19.8,19.9,19.9,20.3,20.1,19.8,20.2
1200,145.9,149.7,176.1,164.6,168.1,19.1,19.2,20.1,20.1,20.1,63.5,69.1,64.1,63.2,63.0,53.9,53.7,57.5,59.9,52.8,61.9,66.4,66.1,64.1,68.1,102.1,90.7,85.0,88.7,80.9,75.4,78.7,76.6,86.2,81.0,19.8,19.7,19.8,19.7,19.8,19.7,19.1,19.9,20.1,20.4,20.3,19.9,19.7,19.7,19.4,19.6,19.3,19.6,19.5,19.5,19.3,19.4,19.2,19.3,19.2,20.0,20.0,19.9,19.7,19.9,19.3,19.1,19.1,19.8,20.0,19.9,20.3,20.1,19.8,20.2
1500,197.3,202.2,230.6,227.4,223.3,19.1,19.1,20.1,20.2,20.1,92.5,101.9,93.1,95.1,93.1,80.0,82.9,84.7,91.5,79.2,91.0,99.4,96.3,96.4,98.2,139.1,126.3,119.4,125.9,115.2,106.8,112.1,107.9,120.7,115.7,20.3,20.2,20.4,20.1,20.4,20.3,19.5,20.3,20.6,23.2,21.0,20.4,20.5,20.4,20.2,19.6,19.3,19.6,19.5,19.5,19.3,19.4,19.2,19.3,19.3,20.0,20.0,19.9,19.8,19.9,19.3,19.1,19.1,19.8,20.0,19.9,20.4,20.1,19.8,20.2
1800,224.1,227.2,257.0,258.7,251.7,19.1,19.1,20.2,20.3,20.2,117.0,129.6,116.9,121.9,118.8,102.7,108.5,108.1,118.4,104.4,116.6,126.6,120.5,122.6,122.8,173.8,159.6,149.1,158.6,144.6,132.3,140.0,133.3,152.1,145.4,21.7,21.2,22.1,21.2,22.0,21.7,20.8,21.4,21.9,29.4,22.6,21.8,22.3,22.2,22.5,19.6,19.4,19.6,19.5,19.5,19.3,19.4,19.2,19.3,19.3,20.1,20.1,20.0,19.9,19.9,19.5,19.1,19.2,19.8,20.1,19.9,20.4,20.2,20.0,20.3
2100,248.7,249.6,278.4,280.5,272.7,19.1,19.1,20.3,20.4,20.3,136.7,153.6,137.7,145.1,140.6,120.8,127.0,126.9,140.5,124.9,138.8,152.4,142.7,146.2,144.1,199.8,186.9,174.0,185.6,168.3,155.3,166.4,156.8,179.9,169.5,25.2,23.8,26.5,23.7,26.2,25.5,23.9,24.2,25.9,39.4,27.0,25.3,28.0,29.5,31.2,19.7,19.4,19.7,19.6,19.7,19.4,19.4,19.2,19.3,19.3,20.2,20.2,20.1,19.9,20.0,20.2,19.2,19.2,19.9,20.1,20.0,20.5,20.3,20.1,20.5
2400,274.3,274.6,301.5,303.1,294.5,19.1,19.1,20.6,20.5,20.4,156.3,178.6,158.6,170.3,162.3,138.8,147.8,146.0,163.8,144.8,159.7,178.9,164.1,170.2,165.0,222.2,212.3,196.1,210.9,189.8,176.4,192.0,178.2,206.3,191.2,32.8,29.6,34.9,29.6,36.6,34.6,30.4,30.8,34.4,50.4,35.6,32.3,38.2,43.3,45.0,19.8,19.6,19.8,19.7,20.1,19.7,19.5,19.3,19.4,19.3,20.3,20.3,20.2,20.0,20.1,21.7,19.3,19.2,19.9,20.2,20.2,20.8,20.5,20.5,20.7
2700,295.6,294.5,320.2,322.4,313.2,19.2,19.2,21.2,20.7,20.7,176.1,203.7,179.1,195.9,184.0,157.3,170.3,165.1,187.7,164.9,180.2,205.4,184.9,194.4,185.4,242.5,236.8,216.8,235.4,210.1,196.4,217.1,198.7,231.9,211.6,43.2,38.5,45.4,38.3,51.0,50.4,39.1,41.0,45.2,60.1,46.5,41.7,49.9,58.4,58.8,20.2,20.0,20.0,20.0,20.9,20.4,19.9,19.6,19.8,19.4,20.7,20.7,20.4,20.5,20.4,24.2,19.8,19.6,20.0,20.5,20.6,21.7,21.0,21.4,21.2
